Class,precision,recall,f1-score,support
Apple__black_rot,1.0,1.0,1.0,62
Apple__healthy,1.0,1.0,1.0,165
Apple__rust,0.875,1.0,0.9333,35
Apple__scab,1.0,0.9714,0.9855,70
Cassava__bacterial_blight,0.6774,0.8571,0.7568,49
Cassava__brown_streak_disease,0.7333,0.7857,0.7586,56
Cassava__green_mottle,0.9211,0.7447,0.8235,47
Cassava__healthy,0.6875,0.6471,0.6667,68
Cassava__mosaic_disease,0.85,0.7727,0.8095,44
Cherry__healthy,1.0,0.989,0.9945,91
Cherry__powdery_mildew,1.0,1.0,1.0,105
Chili__healthy,0.8182,0.9,0.8571,10
Chili__leaf curl,0.7778,0.7,0.7368,10
Chili__leaf spot,0.7,0.7,0.7,10
Chili__whitefly,0.875,0.7,0.7778,10
Chili__yellowish,0.6154,0.8,0.6957,10
Coffee__cercospora_leaf_spot,0.8,0.8,0.8,5
Coffee__healthy,0.9333,0.9545,0.9438,44
Coffee__red_spider_mite,0.7692,0.625,0.6897,16
Coffee__rust,0.875,0.9545,0.913,44
Corn__common_rust,0.9627,0.9847,0.9736,131
Corn__gray_leaf_spot,0.9364,0.9364,0.9364,110
Corn__healthy,1.0,1.0,1.0,116
Corn__northern_leaf_blight,0.9496,0.9187,0.9339,123
Cucumber__diseased,1.0,1.0,1.0,35
Cucumber__healthy,1.0,1.0,1.0,34
Gauva__diseased,1.0,1.0,1.0,14
Gauva__healthy,1.0,1.0,1.0,27
Grape__black_measles,1.0,1.0,1.0,139
Grape__black_rot,1.0,0.9956,0.9978,1139
Grape__healthy,0.9216,1.0,0.9592,47
Grape__leaf_blight_(isariopsis_leaf_spot),1.0,1.0,1.0,89
Jamun__diseased,1.0,0.8235,0.9032,34
Jamun__healthy,0.8235,1.0,0.9032,28
Lemon__diseased,1.0,0.7143,0.8333,7
Lemon__healthy,0.8889,1.0,0.9412,16
Mango__diseased,1.0,1.0,1.0,26
Mango__healthy,1.0,1.0,1.0,17
Peach__bacterial_spot,1.0,1.0,1.0,230
Peach__healthy,1.0,1.0,1.0,36
Pepper_bell__bacterial_spot,0.8947,0.9533,0.9231,107
Pepper_bell__healthy,0.9931,0.9351,0.9632,154
Pomegranate__diseased,1.0,1.0,1.0,27
Pomegranate__healthy,1.0,1.0,1.0,28
Potato__early_blight,0.9286,0.9455,0.9369,110
Potato__healthy,1.0,1.0,1.0,15
Potato__late_blight,0.931,0.9818,0.9558,110
Rice__brown_spot,0.8382,0.8636,0.8507,66
Rice__healthy,0.8667,0.9597,0.9108,149
Rice__hispa,1.0,0.9825,0.9912,57
Rice__leaf_blast,0.9136,0.7551,0.8268,98
Rice__neck_blast,1.0,1.0,1.0,100
Soybean__bacterial_blight,1.0,0.8,0.8889,5
Soybean__caterpillar,0.8788,0.9637,0.9193,331
Soybean__diabrotica_speciosa,0.9071,0.9276,0.9172,221
Soybean__downy_mildew,1.0,0.8,0.8889,5
Soybean__healthy,0.9964,0.935,0.9647,600
Soybean__mosaic_virus,1.0,1.0,1.0,2
Soybean__powdery_mildew,1.0,1.0,1.0,7
Soybean__rust,0.75,1.0,0.8571,6
Soybean__southern_blight,1.0,0.6667,0.8,6
Strawberry___leaf_scorch,1.0,1.0,1.0,111
Strawberry__healthy,1.0,1.0,1.0,45
Sugarcane__bacterial_blight,1.0,1.0,1.0,10
Sugarcane__healthy,0.9474,1.0,0.973,18
Sugarcane__red_rot,1.0,0.9412,0.9697,17
Sugarcane__red_stripe,1.0,1.0,1.0,5
Sugarcane__rust,1.0,1.0,1.0,9
Tea__algal_leaf,1.0,1.0,1.0,34
Tea__anthracnose,1.0,1.0,1.0,30
Tea__bird_eye_spot,1.0,1.0,1.0,30
Tea__brown_blight,1.0,1.0,1.0,34
Tea__healthy,1.0,1.0,1.0,22
Tea__red_leaf_spot,1.0,1.0,1.0,43
Tomato__bacterial_spot,0.9771,0.9953,0.9861,214
Tomato__early_blight,1.0,0.9703,0.9849,101
Tomato__healthy,1.0,0.9875,0.9937,160
Tomato__late_blight,1.0,0.9896,0.9948,192
Tomato__leaf_mold,1.0,1.0,1.0,96
Tomato__mosaic_virus,1.0,1.0,1.0,38
Tomato__septoria_leaf_spot,1.0,0.9944,0.9972,179
Tomato__spider_mites_(two_spotted_spider_mite),0.9882,1.0,0.9941,168
Tomato__target_spot,1.0,0.9929,0.9964,141
Tomato__yellow_leaf_curl_virus,1.0,0.9944,0.9972,537
Wheat__brown_rust,1.0,0.9891,0.9945,92
Wheat__healthy,1.0,1.0,1.0,123
Wheat__septoria,1.0,1.0,1.0,9
Wheat__yellow_rust,1.0,1.0,1.0,113
accuracy,0.9665,0.9665,0.9665,0
macro avg,0.9455,0.9386,0.9398,8124
weighted avg,0.9681,0.9665,0.9666,8124
